Age,GrLivArea,LotFrontage,LotArea,GarageArea,Fence,Pool
5.0,1710.0,65.0,8450.0,548.0,False,False
31.0,1262.0,80.0,9600.0,460.0,False,False
7.0,1786.0,68.0,11250.0,608.0,False,False
8.0,2198.0,84.0,14260.0,836.0,False,False
16.0,1362.0,85.0,14115.0,480.0,True,False
3.0,1694.0,75.0,10084.0,636.0,False,False
36.0,2090.0,,10382.0,484.0,False,False
69.0,1077.0,50.0,7420.0,205.0,False,False
43.0,1040.0,70.0,11200.0,384.0,False,False
1.0,2324.0,85.0,11924.0,736.0,False,False
46.0,912.0,,12968.0,352.0,False,False
1.0,1494.0,91.0,10652.0,840.0,False,False
48.0,1253.0,,10920.0,352.0,True,False
78.0,854.0,51.0,6120.0,576.0,True,False
40.0,1004.0,,11241.0,480.0,False,False
39.0,1296.0,72.0,10791.0,516.0,False,False
4.0,1114.0,66.0,13695.0,576.0,False,False
1.0,2376.0,101.0,14215.0,853.0,False,False
77.0,1108.0,57.0,7449.0,280.0,True,False
6.0,1795.0,75.0,9742.0,534.0,False,False
31.0,1060.0,44.0,4224.0,572.0,False,False
42.0,1060.0,,8246.0,270.0,True,False
2.0,1600.0,110.0,14230.0,890.0,False,False
59.0,900.0,60.0,7200.0,576.0,False,False
3.0,1704.0,98.0,11478.0,772.0,False,False
49.0,1600.0,47.0,16321.0,319.0,False,False
81.0,520.0,60.0,6324.0,240.0,False,False
42.0,1228.0,,8544.0,271.0,True,False
1.0,1234.0,85.0,11049.0,484.0,False,False
51.0,1700.0,70.0,10552.0,447.0,False,False
2.0,1561.0,60.0,7313.0,556.0,False,False
2.0,2452.0,108.0,13418.0,691.0,False,False
15.0,1097.0,112.0,10859.0,672.0,False,False
55.0,1297.0,74.0,8532.0,498.0,False,False
53.0,1152.0,65.0,6040.0,0.0,False,False
48.0,1328.0,115.0,16905.0,308.0,False,False
24.0,884.0,,9180.0,504.0,True,False
33.0,938.0,,9200.0,308.0,True,False
47.0,1150.0,70.0,7945.0,300.0,False,False
5.0,1752.0,61.0,7658.0,576.0,False,False
1.0,1656.0,84.0,11096.0,826.0,False,False
89.0,1452.0,33.0,4456.0,0.0,False,False
41.0,955.0,66.0,7742.0,386.0,True,False
10.0,1470.0,,13869.0,388.0,False,False
72.0,1176.0,52.0,6240.0,528.0,True,False
47.0,816.0,110.0,8472.0,516.0,False,False
25.0,1842.0,68.0,50271.0,894.0,False,False
52.0,1360.0,60.0,7134.0,572.0,True,False
44.0,1425.0,100.0,10175.0,576.0,False,False
2.0,1720.0,89.0,11645.0,565.0,False,False
0.0,2945.0,66.0,13682.0,641.0,False,False
36.0,780.0,60.0,7200.0,352.0,True,False
2.0,1158.0,63.0,13072.0,576.0,False,False
87.0,1111.0,60.0,7200.0,288.0,False,False
1.0,1370.0,44.0,6442.0,484.0,False,False
89.0,1710.0,50.0,10300.0,480.0,True,False
12.0,2034.0,,9375.0,645.0,True,False
3.0,2473.0,76.0,9591.0,852.0,False,False
40.0,2207.0,,19900.0,576.0,False,False
4.0,1479.0,72.0,10665.0,558.0,False,False
65.0,747.0,47.0,4608.0,220.0,False,False
53.0,2287.0,81.0,15593.0,667.0,False,False
34.0,2223.0,95.0,13651.0,516.0,False,False
25.0,845.0,69.0,7599.0,360.0,False,False
11.0,1718.0,74.0,10141.0,427.0,False,False
56.0,1086.0,85.0,10200.0,490.0,True,False
95.0,1605.0,60.0,5790.0,379.0,False,False
36.0,988.0,21.0,1596.0,297.0,True,False
52.0,952.0,,8475.0,283.0,False,False
60.0,1285.0,50.0,8635.0,240.0,True,False
42.0,1768.0,72.0,10778.0,0.0,False,False
99.0,1230.0,60.0,10440.0,440.0,True,False
41.0,2142.0,100.0,13000.0,509.0,False,False
8.0,1337.0,32.0,4500.0,405.0,False,False
1.0,1563.0,78.0,10206.0,758.0,False,False
47.0,1065.0,80.0,8892.0,461.0,False,False
14.0,1474.0,,8530.0,400.0,False,False
15.0,2417.0,121.0,16059.0,462.0,False,False
4.0,1560.0,122.0,11911.0,400.0,False,False
0.0,1224.0,40.0,3951.0,528.0,False,False
13.0,990.0,60.0,8070.0,0.0,False,False
56.0,1040.0,60.0,7200.0,420.0,False,False
88.0,964.0,80.0,13360.0,432.0,False,False
10.0,1786.0,69.0,9337.0,684.0,False,False
16.0,1470.0,,9765.0,420.0,False,False
7.0,1588.0,78.0,10264.0,472.0,False,False
42.0,960.0,73.0,10921.0,432.0,False,False
51.0,1225.0,77.0,9320.0,0.0,False,False
33.0,1610.0,,10603.0,480.0,False,False
25.0,1732.0,77.0,9206.0,476.0,False,False
30.0,1535.0,64.0,7018.0,410.0,False,False
1.0,1226.0,94.0,10402.0,740.0,False,False
76.0,1818.0,,7758.0,240.0,False,False
5.0,1992.0,75.0,9375.0,648.0,False,False
122.0,1047.0,60.0,10800.0,273.0,False,False
60.0,789.0,50.0,6000.0,250.0,False,False
88.0,1517.0,85.0,8500.0,0.0,False,False
33.0,1844.0,105.0,11751.0,546.0,True,False
52.0,1855.0,75.0,9525.0,325.0,False,False
10.0,1430.0,,7750.0,400.0,False,False
0.0,2696.0,77.0,9965.0,792.0,False,False
62.0,2320.0,61.0,7259.0,180.0,True,False
8.0,1458.0,34.0,3230.0,440.0,False,False
47.0,1092.0,,11616.0,288.0,False,False
1.0,1125.0,74.0,8536.0,430.0,False,False
20.0,3222.0,90.0,12376.0,594.0,False,False
1.0,1456.0,65.0,8461.0,390.0,False,False
