,index,AgeBins,Bldg Type,Gr Liv Area,Lot Frontage,Lot Area,Has2ndFloor,HasBasement,HasGarage,has_fireplace,Bedroom AbvGr,Kitchen AbvGr,Bathrooms,Overall Qual,SalePrice
0,1,2,1Fam,896,80,11622,False,True,True,0,2,1,1.0,5,105000
1,2,3,1Fam,1329,81,14267,False,True,True,0,3,1,1.5,6,172000
2,3,2,1Fam,2110,93,11160,False,True,True,1,3,1,2.5,7,244000
3,4,1,1Fam,1629,74,13830,True,True,True,1,3,1,2.5,5,189900
4,5,1,1Fam,1604,78,9978,True,True,True,1,3,1,2.5,6,195500
5,6,1,TwnhsE,1338,41,4920,False,True,True,0,2,1,2.0,8,213500
6,7,1,TwnhsE,1280,43,5005,False,True,True,0,2,1,2.0,8,191500
7,8,1,TwnhsE,1616,39,5389,False,True,True,1,2,1,2.0,8,236500
8,9,1,1Fam,1804,60,7500,True,True,True,1,3,1,2.5,7,189000
9,10,1,1Fam,1655,75,10000,True,True,True,1,3,1,2.5,6,175900
10,11,1,1Fam,1187,73,7980,False,True,True,0,3,1,2.0,6,185000
11,12,1,1Fam,1465,63,8402,True,True,True,1,3,1,2.5,6,180400
12,13,1,1Fam,1341,85,10176,False,True,True,1,2,1,1.5,7,171500
13,14,2,TwnhsE,1502,62,6820,False,True,True,0,1,1,1.5,8,212000
14,19,2,1Fam,2073,85,13175,False,True,True,1,3,1,2.0,6,210000
15,20,2,1Fam,1844,105,11751,False,True,True,1,3,1,2.0,6,190000
16,22,1,1Fam,1674,65,7500,True,True,True,0,3,1,2.5,7,216000
17,23,2,1Fam,1004,74,11241,False,True,True,1,2,1,1.0,6,149000
18,24,2,1Fam,1078,74,12537,False,True,True,1,3,1,1.5,5,149900
19,25,2,1Fam,1056,65,8450,False,True,True,1,3,1,1.0,5,142000
20,26,2,1Fam,882,70,8400,False,True,True,0,2,1,1.0,4,126000
21,27,2,1Fam,864,70,10500,False,True,False,1,3,1,1.0,4,115000
22,28,1,TwnhsE,1337,26,5858,False,True,True,1,2,1,2.0,7,184000
23,29,2,Twnhs,987,21,1680,True,True,True,0,2,1,1.5,6,96000
24,30,2,Twnhs,1092,21,1680,True,True,True,0,3,1,1.5,5,105500
25,32,2,TwnhsE,1069,53,4043,False,True,True,1,2,1,2.0,6,127500
26,33,2,Twnhs,1456,24,2280,True,True,True,1,3,1,2.5,6,149900
27,34,2,Twnhs,836,24,2280,False,True,True,0,2,1,1.0,7,120000
28,35,2,Twnhs,1456,24,2280,True,True,True,1,3,1,2.5,6,146000
29,37,0,1Fam,1704,98,11478,False,True,True,1,3,1,2.0,8,306000
30,39,0,1Fam,1544,94,12883,False,True,True,0,3,1,2.0,8,290941
31,40,0,1Fam,1541,95,12182,False,True,True,1,3,1,2.0,7,220000
32,41,0,1Fam,1698,90,11520,False,True,True,1,3,1,2.0,9,275000
33,42,0,1Fam,1822,79,14122,False,True,True,1,3,1,2.0,8,259000
34,43,1,1Fam,1535,70,10171,False,True,True,0,3,1,2.0,7,214000
35,45,0,TwnhsE,1358,44,6371,False,True,True,1,2,1,2.0,7,224000
36,47,1,1Fam,2250,105,13650,True,True,True,1,3,1,2.5,8,320000
37,48,0,TwnhsE,1752,61,7658,False,True,True,1,2,1,2.0,9,319900
38,49,0,TwnhsE,1370,41,7132,False,True,True,1,2,1,2.0,8,205000
39,50,1,Twnhs,1626,36,2628,True,True,True,0,2,1,2.5,7,175500
40,51,0,1Fam,1324,100,18494,False,True,True,0,3,1,2.0,6,199500
41,52,0,TwnhsE,1145,43,3203,False,True,True,0,2,1,2.0,7,160000
42,53,1,TwnhsE,1269,43,3182,False,True,True,1,2,1,2.0,8,192000
43,54,1,1Fam,1374,67,13300,True,True,True,1,3,1,2.5,7,184500
44,55,1,1Fam,1960,73,7851,True,True,True,1,4,1,2.5,6,216500
45,56,1,1Fam,1733,63,8577,True,True,True,1,3,1,2.5,7,185088
46,57,1,1Fam,1430,73,7750,True,True,True,1,3,1,2.5,7,180000
47,58,1,1Fam,2035,73,9505,True,True,True,1,3,1,2.5,7,222500
48,61,1,1Fam,1720,59,10593,False,True,True,1,3,1,2.0,7,260400
49,63,1,1Fam,2270,92,11764,True,True,True,1,4,1,2.5,8,290000
50,64,1,1Fam,1839,58,16770,True,True,True,0,4,1,2.5,7,221000
51,66,0,1Fam,1595,73,8987,False,True,True,1,2,1,2.0,8,221500
52,67,0,1Fam,1218,92,9215,False,True,True,0,2,1,2.0,7,204500
53,68,0,1Fam,1547,72,8640,True,True,True,0,3,1,2.5,7,215200
54,69,0,1Fam,1566,75,9000,False,True,True,0,3,1,2.0,8,262500
55,70,1,1Fam,1947,100,12552,True,True,True,1,3,1,2.5,7,254900
56,71,0,1Fam,1468,84,10440,False,True,True,1,2,1,2.0,6,271500
57,72,1,1Fam,2084,76,10142,True,True,True,0,4,1,2.5,7,233000
58,73,1,1Fam,1659,70,11920,True,True,True,0,3,1,2.5,7,181000
59,74,1,1Fam,2110,70,8880,True,True,True,1,3,1,2.5,7,205000
60,75,2,TwnhsE,923,50,8012,False,True,True,1,2,1,2.0,6,143000
61,76,1,1Fam,1845,70,11218,True,True,True,1,3,1,2.5,6,189000
62,77,2,TwnhsE,918,55,7892,False,True,True,1,2,1,2.0,6,99500
63,78,2,TwnhsE,752,50,7175,False,True,True,0,2,1,1.0,6,125000
64,79,1,1Fam,1744,70,9453,True,True,True,0,3,1,2.5,7,194500
65,80,2,1Fam,1097,81,9672,False,True,True,0,3,1,2.0,6,152000
66,81,2,1Fam,1564,70,8400,True,True,True,1,3,1,2.5,6,171000
67,82,3,1Fam,1012,70,9800,False,True,True,0,2,1,1.0,5,67500
68,83,2,Duplex,1902,68,8930,True,False,True,0,4,2,2.0,6,112000
69,84,2,1Fam,1155,88,11782,False,True,True,0,3,1,1.0,5,148000
70,85,2,1Fam,894,65,8450,False,True,True,1,3,1,1.0,5,138500
71,86,2,1Fam,900,74,9819,False,True,True,0,3,1,1.0,5,122000
72,87,2,1Fam,1040,75,7500,False,True,True,0,3,1,1.5,5,133000
73,88,2,1Fam,1040,74,6897,False,True,True,0,3,1,1.5,5,127000
74,90,1,1Fam,1923,107,10186,True,True,True,1,3,1,2.5,7,190000
75,92,1,1Fam,2225,88,11134,True,True,True,1,4,1,2.5,8,285000
76,93,1,TwnhsE,1488,25,4835,False,True,True,1,2,1,2.0,7,260000
77,94,1,TwnhsE,1680,39,3515,True,True,True,0,2,1,2.5,7,190000
78,95,1,TwnhsE,1200,30,3215,True,True,True,0,2,1,2.5,7,155000
79,96,1,TwnhsE,1200,30,3182,True,True,True,0,2,1,2.5,7,151000
80,97,1,Twnhs,1200,24,2544,True,True,True,0,2,1,2.5,7,149500
81,98,0,Twnhs,1236,24,2544,True,True,True,0,2,1,2.5,6,152000
82,99,0,1Fam,1478,65,4403,False,True,True,1,2,1,2.5,7,222000
83,100,1,Twnhs,1573,65,2117,True,True,True,0,3,1,2.5,6,177500
84,101,1,TwnhsE,1512,65,2980,True,True,True,0,2,1,2.5,6,177000
85,102,1,Twnhs,1416,24,2572,True,True,True,0,3,1,2.5,7,155000
86,103,1,TwnhsE,1080,65,2403,True,True,True,0,2,1,2.5,7,147110
87,104,0,1Fam,1418,57,12853,False,True,True,1,1,1,1.5,8,267916
88,105,1,1Fam,1848,68,7379,True,True,True,1,3,1,2.5,8,254000
89,106,2,TwnhsE,788,30,4420,False,True,True,1,1,1,1.0,8,155000
90,107,2,Twnhs,1226,40,3880,False,True,True,1,1,1,1.0,8,206000
91,108,2,1Fam,1479,74,13517,True,True,True,0,3,1,2.5,6,130500
92,109,1,1Fam,1492,80,8000,False,True,True,1,3,1,2.0,7,230000
93,110,2,1Fam,1829,81,10456,False,True,True,0,4,1,2.0,6,218500
94,111,1,1Fam,2495,80,10791,True,True,True,1,4,1,2.5,6,243500
95,112,2,1Fam,1610,81,10603,False,True,True,1,3,1,2.0,6,205000
96,113,2,1Fam,1891,81,18837,True,True,True,1,3,1,3.0,6,212500
97,114,2,1Fam,1714,80,10421,True,True,True,1,3,1,2.5,7,196500
98,115,2,1Fam,1381,78,9360,False,True,True,1,3,1,1.5,6,197500
99,116,2,1Fam,1645,80,9600,True,True,True,0,4,1,2.0,6,171000
100,117,2,1Fam,1232,80,9600,False,True,True,0,3,1,1.5,5,142250
101,118,2,1Fam,1328,81,9790,False,True,True,1,3,1,1.5,6,143000
102,119,3,1Fam,1225,77,9320,False,True,False,0,3,1,1.5,4,128950
103,120,2,1Fam,1209,90,9900,False,True,True,0,3,1,1.0,5,159000
104,121,2,1Fam,1510,88,9680,False,True,True,0,3,1,2.0,5,178900
105,123,2,1Fam,1152,74,14112,False,True,True,1,3,1,1.0,5,180500
106,126,3,1Fam,1078,68,9717,False,True,True,0,2,1,1.0,5,142125
107,127,3,1Fam,2461,68,9724,True,True,True,1,3,1,2.0,5,197600
108,129,3,1Fam,858,50,7207,False,True,False,0,2,1,1.0,5,116500
109,130,3,1Fam,1306,55,5350,False,True,False,0,3,1,1.0,3,76500
110,131,3,1Fam,1063,80,9920,False,True,True,0,3,1,1.0,5,128000
111,132,3,1Fam,1520,80,9600,False,True,True,1,3,1,1.0,6,153000
112,133,3,1Fam,1268,78,7800,False,True,True,1,2,1,1.0,5,132000
113,134,2,1Fam,1128,75,11380,False,True,True,1,2,1,1.0,6,178000
114,135,2,Duplex,2274,80,11600,True,True,True,0,5,2,2.0,5,154300
115,136,2,1Fam,2207,74,19900,False,True,True,1,3,1,2.0,7,180000
116,138,3,Duplex,1604,70,8267,False,True,True,0,4,2,2.0,5,135000
117,139,1,1Fam,1480,70,8197,False,True,True,0,3,1,2.0,7,214000
118,140,3,1Fam,1143,74,8050,False,True,True,0,3,1,1.0,5,136000
119,141,3,1Fam,1700,70,10552,False,True,True,1,4,1,1.5,5,165500
120,142,3,1Fam,1314,70,8400,False,True,True,0,3,1,1.0,5,145000
121,143,3,1Fam,1194,73,8760,False,True,True,0,3,1,1.0,6,148000
122,145,2,1Fam,1264,73,9300,False,True,True,1,3,1,1.0,5,167500
123,146,3,1Fam,1206,87,10725,False,True,True,0,3,1,1.0,5,108538
124,147,3,1Fam,1580,80,10032,False,True,True,1,3,1,1.5,6,159500
125,148,3,1Fam,1337,60,8382,True,True,True,0,3,1,1.0,4,108000
126,149,3,1Fam,1064,60,10950,False,True,True,0,2,1,1.0,5,135000
127,153,3,1Fam,985,65,7898,False,True,True,0,2,1,1.0,4,105000
128,154,3,1Fam,827,60,7200,False,False,True,1,2,1,1.0,5,107500
129,155,3,1Fam,1086,85,10200,False,True,True,0,3,1,1.0,5,144900
130,156,3,1Fam,936,74,5868,False,True,True,0,2,1,1.0,5,129000
131,158,2,Duplex,1056,64,6979,False,True,True,0,0,2,0.0,6,144000
132,159,3,1Fam,1287,74,9830,False,True,True,1,3,1,1.0,5,162000
133,161,3,1Fam,1224,60,8064,True,True,True,0,3,1,1.0,6,132000
134,162,3,1Fam,1246,75,7500,False,True,True,0,3,1,1.5,5,154000
135,163,3,1Fam,1385,71,8520,True,True,True,0,4,1,2.0,5,166000
136,164,3,1Fam,900,60,7200,False,True,True,0,3,1,1.0,5,134800
137,165,2,1Fam,1116,87,10000,False,True,True,0,3,1,1.5,6,160000
138,166,2,1Fam,1175,81,7635,False,True,True,0,3,1,1.5,5,148000
139,167,2,1Fam,1395,80,9760,False,True,True,1,2,1,1.0,6,192000
140,168,2,1Fam,1839,70,7700,True,True,True,1,4,1,1.5,6,155000
141,170,3,1Fam,1140,55,8800,True,True,False,0,3,1,1.0,4,96500
142,171,3,1Fam,936,56,4485,False,True,False,1,2,1,1.0,5,109500
143,172,3,1Fam,1028,56,8960,False,True,True,1,2,1,1.0,5,115000
144,173,3,1Fam,1347,69,5805,False,True,True,0,3,1,1.0,5,143000
145,174,3,1Fam,1605,60,5790,True,True,True,0,3,2,2.0,3,107400
146,175,3,1Fam,747,47,4608,False,True,True,0,2,1,1.0,4,80000
147,177,3,1Fam,1316,50,5500,False,True,True,0,3,1,1.0,5,130000
148,178,3,1Fam,1251,50,6900,True,True,True,0,3,1,1.0,6,119000
149,179,3,1Fam,1633,69,11851,True,True,True,1,3,1,1.0,5,129000
150,180,3,1Fam,1245,61,8239,True,True,True,0,3,1,1.0,5,100000
151,182,3,1Fam,720,60,8520,False,True,True,0,2,1,1.0,6,105900
152,184,3,1Fam,1652,60,10800,True,True,True,0,4,1,2.0,5,139000
153,185,3,1Fam,2268,50,9000,True,True,True,0,3,1,3.0,8,240000
154,187,3,1Fam,1236,90,7407,False,True,True,0,2,1,1.0,6,149700
155,188,3,1Fam,1363,60,7740,True,True,True,0,3,1,1.0,4,125500
156,189,3,2fmCon,2290,60,11340,True,True,True,0,4,2,2.0,4,122500
157,190,3,1Fam,1470,60,10560,True,True,True,0,2,1,1.5,6,140750
158,191,3,1Fam,1612,53,5830,True,True,True,0,3,1,1.5,5,128500
159,192,3,1Fam,2068,55,7793,True,True,True,1,3,1,1.5,7,209500
160,193,3,1Fam,765,50,5000,False,True,True,0,2,1,1.0,4,87000
161,195,3,1Fam,1196,50,6000,True,True,True,1,3,1,1.5,6,128000
