Id,AgeBins,BldgType,GrLivArea,LotFrontage,LotArea,HasFence,Has2ndFloor,HasBasement,HasGarage,target
1,0,1Fam,1710,65,8450,False,True,True,True,208500
2,2,1Fam,1262,80,9600,False,False,True,True,181500
3,1,1Fam,1786,68,11250,False,True,True,True,223500
5,1,1Fam,2198,84,14260,False,True,True,True,250000
6,1,1Fam,1362,85,14115,True,True,True,True,143000
7,0,1Fam,1694,75,10084,False,False,True,True,307000
8,2,1Fam,2090,80,10382,False,True,True,True,200000
10,3,2fmCon,1077,50,7420,False,False,True,True,118000
11,2,1Fam,1040,70,11200,False,False,True,True,129500
12,0,1Fam,2324,85,11924,False,True,True,True,345000
13,2,1Fam,912,73,12968,False,False,True,True,144000
14,0,1Fam,1494,91,10652,False,False,True,True,279500
15,2,1Fam,1253,76,10920,True,False,True,True,157000
16,3,1Fam,854,51,6120,True,False,True,True,132000
17,2,1Fam,1004,76,11241,False,False,True,True,149000
18,2,Duplex,1296,72,10791,False,False,False,True,90000
19,0,1Fam,1114,66,13695,False,False,True,True,159000
21,0,1Fam,2376,101,14215,False,True,True,True,325300
22,3,1Fam,1108,57,7449,True,False,True,True,139400
23,1,1Fam,1795,75,9742,False,False,True,True,230000
24,2,TwnhsE,1060,44,4224,False,False,True,True,129900
25,2,1Fam,1060,73,8246,True,False,True,True,154000
26,0,1Fam,1600,110,14230,False,False,True,True,256300
27,3,1Fam,900,60,7200,False,False,True,True,134800
28,0,1Fam,1704,98,11478,False,False,True,True,306000
29,2,1Fam,1600,47,16321,False,False,True,True,207500
30,3,1Fam,520,60,6324,False,False,True,True,68500
32,2,1Fam,1228,73,8544,True,False,True,True,149350
33,0,1Fam,1234,85,11049,False,False,True,True,179900
34,3,1Fam,1700,70,10552,False,False,True,True,165500
35,0,TwnhsE,1561,60,7313,False,False,True,True,277500
36,0,1Fam,2452,108,13418,False,True,True,True,309000
37,1,1Fam,1097,112,10859,False,False,True,True,145000
38,3,1Fam,1297,74,8532,False,False,True,True,153000
40,3,Duplex,1152,65,6040,False,False,False,False,82000
42,2,1Fam,1328,115,16905,False,False,True,True,170000
43,2,1Fam,884,71,9180,True,False,True,True,144000
44,2,1Fam,938,71,9200,True,False,True,True,130250
45,2,1Fam,1150,70,7945,False,False,True,True,141000
46,0,TwnhsE,1752,61,7658,False,False,True,True,319900
48,0,1Fam,1656,84,11096,False,False,True,True,249700
49,3,2fmCon,1452,33,4456,False,True,True,False,113000
50,2,1Fam,955,66,7742,True,False,True,True,127000
51,1,1Fam,1470,77,13869,False,True,True,True,177000
52,3,1Fam,1176,52,6240,True,False,True,True,114500
53,2,Duplex,816,110,8472,False,False,True,True,110000
54,2,1Fam,1842,68,50271,False,False,True,True,385000
